PRECIPITACAO_TOTAL_HORARIO_mm,TEMPERATURA_DO_AR_BULBO_SECO_HORARIA,UMIDADE_RELATIVA_DO_AR_HORARIA_porcent,VENTO_DIRECAO_HORARIA
0.0,20.0,91.0,326.0
0.0,19.6,90.0,354.0
0.0,19.5,91.0,329.0
0.0,19.8,92.0,153.0
0.0,18.7,93.0,310.0
0.0,18.7,93.0,75.0
0.0,18.3,93.0,358.0
0.0,18.6,93.0,323.0
0.2,18.8,93.0,78.0
0.0,19.3,91.0,74.0
0.0,18.9,88.0,49.0
0.0,18.9,88.0,44.0
0.0,19.5,85.0,326.0
0.0,21.4,78.0,355.0
0.0,23.3,68.0,1.0
0.0,23.6,70.0,354.0
0.0,24.3,63.0,3.0
0.0,24.5,63.0,18.0
0.0,25.3,60.0,340.0
0.0,26.1,59.0,320.0
0.0,23.4,69.0,14.0
0.0,24.4,64.0,3.0
0.0,22.7,72.0,331.0
0.0,22.2,74.0,14.0
0.0,21.6,76.0,336.0
0.0,21.3,78.0,354.0
0.0,20.9,80.0,346.0
0.0,20.2,84.0,333.0
0.0,20.2,85.0,322.0
0.0,20.0,85.0,303.0
0.0,20.2,86.0,321.0
0.0,19.8,88.0,298.0
0.0,19.9,89.0,331.0
0.0,19.5,90.0,322.0
0.0,19.2,91.0,300.0
0.0,20.0,88.0,308.0
0.0,21.6,82.0,293.0
0.0,22.9,71.0,351.0
0.0,23.4,68.0,329.0
0.0,24.3,65.0,325.0
0.0,23.3,75.0,5.0
0.0,26.9,53.0,334.0
0.2,26.0,60.0,315.0
0.0,26.1,60.0,84.0
0.6,23.4,75.0,36.0
0.0,21.4,81.0,22.0
0.0,20.7,82.0,323.0
0.0,20.5,85.0,355.0
0.0,20.1,89.0,314.0
0.0,20.1,90.0,304.0
0.0,20.2,89.0,350.0
0.0,20.0,89.0,331.0
0.0,19.6,86.0,326.0
0.0,19.3,88.0,324.0
0.0,19.2,89.0,326.0
0.0,19.1,89.0,302.0
0.0,19.3,88.0,300.0
0.0,19.0,90.0,17.0
0.0,18.7,90.0,341.0
0.0,19.8,87.0,315.0
0.0,21.1,79.0,303.0
0.0,22.5,72.0,297.0
0.2,24.8,60.0,335.0
0.0,25.3,57.0,309.0
0.0,25.6,56.0,301.0
0.0,27.5,54.0,323.0
